,Latitude,Longitude,ID,Time,Locust,Soil_Moisture,Elevation,Soil_Temperature,Vegetation_Index
243,37.42583333,3.141666667,35705,2020-06-30,1,#ffd700,#2bba3e,#d50000,#d1c0ab
244,37.42583333,3.141666667,35706,2020-06-30,1,#ffd700,#2bba3e,#d50000,#d1c0ab
245,37.42583333,3.142777778,35707,2020-06-30,1,#ffd700,#2ebb3d,#d50000,#d1c0ab
246,37.42333333,3.142222222,35708,2020-06-30,1,#ffd700,#28b93f,#d50000,#c8b5a6
247,36.81416667,3.1552777780000003,35709,2020-06-30,1,#ffdb00,#4ec332,#cc0000,#c8b5a5
248,75.63194444,28.19194444,35713,2020-06-30,1,#ffdb00,#18b545,#7f0000,#a58468
249,74.685,28.36722222,35714,2020-06-30,1,#ffe300,#09b14a,#d10000,#b9ab9b
250,71.23222222,27.70611111,35715,2020-06-30,1,#ffd400,#00933b,#7f0000,#e5dbcd
251,36.81388889,3.1552777780000003,35727,2020-06-30,1,#ffdb00,#4ec332,#cc0000,#c8b5a5
252,35.20277778,2.856944444,35728,2020-06-30,1,#fff600,#96d419,#ff1a00,#9a6e5a
253,35.03444444,2.601666667,35729,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
254,36.70833333,2.851388889,35740,2020-06-30,1,#ffe700,#2ebb3d,#c80000,#cdba9f
255,37.42416667,3.122222222,35756,2020-06-30,1,#ffd700,#25b840,#d50000,#c0b096
256,37.42416667,3.122222222,35757,2020-06-30,1,#ffd700,#25b840,#d50000,#c0b096
257,37.42277778,3.1294444439999998,35758,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
258,37.42277778,3.1294444439999998,35766,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
259,37.41333333,3.124444444,35779,2020-06-30,1,#ffd700,#22b741,#d50000,#965a47
260,37.41694444,3.1211111110000003,35780,2020-06-30,1,#ffd700,#2bba3e,#d50000,#b9ab9c
261,35.04444444,2.6122222219999998,35781,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#a18064
262,36.90694444,2.245555556,35782,2020-06-30,1,#ffdb00,#c1db0b,#ff6700,#a7cc4b
263,35.04527778,2.610833333,35787,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
264,35.045,2.6091666669999998,35788,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
