Latitude,Longitude,ID,Time,Locust,Soil_Moisture,Elevation,Soil_Temperature,Vegetation_Index
35.0375,2.598055556,35149,2020-06-30,1,-1,-1,-1,-1
35.04388889,2.601944444,35150,2020-06-30,1,-1,-1,-1,-1
35.04416667,2.601388889,35151,2020-06-30,1,-1,-1,-1,-1
35.0425,2.600833333,35152,2020-06-30,1,-1,-1,-1,-1
35.0425,2.601111111,35153,2020-06-30,1,-1,-1,-1,-1
69.00722222,27.48027778,35164,2020-06-30,1,-1,-1,-1,-1
45.5325,9.534166667,35203,2020-06-30,1,-1,-1,-1,-1
45.53222222,9.533888889,35204,2020-06-30,1,-1,-1,-1,-1
44.07388889,9.503333333,35205,2020-06-30,1,-1,-1,-1,-1
45.46694444,9.577222222,35206,2020-06-30,1,-1,-1,-1,-1
45.46638889,9.576111111,35207,2020-06-30,1,-1,-1,-1,-1
37.42583333,3.141666667,35330,2020-06-30,1,-1,-1,-1,-1
37.42583333,3.141666667,35331,2020-06-30,1,-1,-1,-1,-1
37.42583333,3.142777778,35332,2020-06-30,1,-1,-1,-1,-1
37.42333333,3.142222222,35333,2020-06-30,1,-1,-1,-1,-1
36.81416667,3.155277778,35334,2020-06-30,1,-1,-1,-1,-1
75.63194444,28.19194444,35338,2020-06-30,1,-1,-1,-1,-1
74.685,28.36722222,35339,2020-06-30,1,-1,-1,-1,-1
71.23222222,27.70611111,35340,2020-06-30,1,-1,-1,-1,-1
36.81388889,3.155277778,35352,2020-06-30,1,-1,-1,-1,-1
35.20277778,2.856944444,35353,2020-06-30,1,-1,-1,-1,-1
35.03444444,2.601666667,35354,2020-06-30,1,-1,-1,-1,-1
36.70833333,2.851388889,35365,2020-06-30,1,-1,-1,-1,-1
37.42416667,3.122222222,35381,2020-06-30,1,-1,-1,-1,-1
37.42416667,3.122222222,35382,2020-06-30,1,-1,-1,-1,-1
37.42277778,3.129444444,35383,2020-06-30,1,-1,-1,-1,-1
37.42277778,3.129444444,35391,2020-06-30,1,-1,-1,-1,-1
37.41333333,3.124444444,35404,2020-06-30,1,-1,-1,-1,-1
37.41694444,3.121111111,35405,2020-06-30,1,-1,-1,-1,-1
35.04444444,2.612222222,35406,2020-06-30,1,-1,-1,-1,-1
36.90694444,2.245555556,35407,2020-06-30,1,-1,-1,-1,-1
35.04527778,2.610833333,35412,2020-06-30,1,-1,-1,-1,-1
35.045,2.609166667,35413,2020-06-30,1,-1,-1,-1,-1
35.0375,2.606666667,35414,2020-06-30,1,-1,-1,-1,-1
35.03777778,2.606944444,35415,2020-06-30,1,-1,-1,-1,-1
37.41666667,3.121388889,35416,2020-06-30,1,-1,-1,-1,-1
36.72166667,2.751666667,35427,2020-06-30,1,-1,-1,-1,-1
34.7,2.716666667,35440,2020-06-30,1,-1,-1,-1,-1
73.53027778,27.18388889,35441,2020-06-30,1,-1,-1,-1,-1
73.57777778,27.26027778,35443,2020-06-30,1,-1,-1,-1,-1
35.0375,2.598055556,35454,2020-06-30,1,-1,-1,-1,-1
35.04388889,2.601944444,35455,2020-06-30,1,-1,-1,-1,-1
35.04416667,2.601388889,35456,2020-06-30,1,-1,-1,-1,-1
35.0425,2.600833333,35457,2020-06-30,1,-1,-1,-1,-1
35.0425,2.601111111,35458,2020-06-30,1,-1,-1,-1,-1
69.00722222,27.48027778,35465,2020-06-30,1,-1,-1,-1,-1
45.5325,9.534166667,35514,2020-06-30,1,-1,-1,-1,-1
45.53222222,9.533888889,35515,2020-06-30,1,-1,-1,-1,-1
44.07388889,9.503333333,35516,2020-06-30,1,-1,-1,-1,-1
45.46694444,9.577222222,35517,2020-06-30,1,-1,-1,-1,-1
45.46638889,9.576111111,35518,2020-06-30,1,-1,-1,-1,-1
37.42583333,3.141666667,35705,2020-06-30,1,-1,-1,-1,-1
37.42583333,3.141666667,35706,2020-06-30,1,-1,-1,-1,-1
37.42583333,3.142777778,35707,2020-06-30,1,-1,-1,-1,-1
37.42333333,3.142222222,35708,2020-06-30,1,-1,-1,-1,-1
36.81416667,3.155277778,35709,2020-06-30,1,-1,-1,-1,-1
75.63194444,28.19194444,35713,2020-06-30,1,-1,-1,-1,-1
74.685,28.36722222,35714,2020-06-30,1,-1,-1,-1,-1
71.23222222,27.70611111,35715,2020-06-30,1,-1,-1,-1,-1
36.81388889,3.155277778,35727,2020-06-30,1,-1,-1,-1,-1
35.20277778,2.856944444,35728,2020-06-30,1,-1,-1,-1,-1
35.03444444,2.601666667,35729,2020-06-30,1,-1,-1,-1,-1
36.70833333,2.851388889,35740,2020-06-30,1,-1,-1,-1,-1
37.42416667,3.122222222,35756,2020-06-30,1,-1,-1,-1,-1
37.42416667,3.122222222,35757,2020-06-30,1,-1,-1,-1,-1
37.42277778,3.129444444,35758,2020-06-30,1,-1,-1,-1,-1
37.42277778,3.129444444,35766,2020-06-30,1,-1,-1,-1,-1
37.41333333,3.124444444,35779,2020-06-30,1,-1,-1,-1,-1
37.41694444,3.121111111,35780,2020-06-30,1,-1,-1,-1,-1
35.04444444,2.612222222,35781,2020-06-30,1,-1,-1,-1,-1
36.90694444,2.245555556,35782,2020-06-30,1,-1,-1,-1,-1
35.04527778,2.610833333,35787,2020-06-30,1,-1,-1,-1,-1
35.045,2.609166667,35788,2020-06-30,1,-1,-1,-1,-1
35.0375,2.606666667,35789,2020-06-30,1,-1,-1,-1,-1
35.03777778,2.606944444,35790,2020-06-30,1,-1,-1,-1,-1
37.41666667,3.121388889,35791,2020-06-30,1,-1,-1,-1,-1
36.72166667,2.751666667,35802,2020-06-30,1,-1,-1,-1,-1
34.7,2.716666667,35815,2020-06-30,1,-1,-1,-1,-1
73.53027778,27.18388889,35816,2020-06-30,1,-1,-1,-1,-1
73.57777778,27.26027778,35818,2020-06-30,1,-1,-1,-1,-1
35.0375,2.598055556,35829,2020-06-30,1,-1,-1,-1,-1
35.04388889,2.601944444,35830,2020-06-30,1,-1,-1,-1,-1
35.04416667,2.601388889,35831,2020-06-30,1,-1,-1,-1,-1
35.0425,2.600833333,35832,2020-06-30,1,-1,-1,-1,-1
35.0425,2.601111111,35833,2020-06-30,1,-1,-1,-1,-1
69.00722222,27.48027778,35840,2020-06-30,1,-1,-1,-1,-1
45.5325,9.534166667,35889,2020-06-30,1,-1,-1,-1,-1
45.53222222,9.533888889,35890,2020-06-30,1,-1,-1,-1,-1
44.07388889,9.503333333,35891,2020-06-30,1,-1,-1,-1,-1
45.46694444,9.577222222,35892,2020-06-30,1,-1,-1,-1,-1
45.46638889,9.576111111,35893,2020-06-30,1,-1,-1,-1,-1
37.42583333,3.141666667,36094,2020-06-30,1,-1,-1,-1,-1
37.42583333,3.141666667,36095,2020-06-30,1,-1,-1,-1,-1
37.42583333,3.142777778,36096,2020-06-30,1,-1,-1,-1,-1
37.42333333,3.142222222,36097,2020-06-30,1,-1,-1,-1,-1
36.81416667,3.155277778,36098,2020-06-30,1,-1,-1,-1,-1
75.63194444,28.19194444,36102,2020-06-30,1,-1,-1,-1,-1
74.685,28.36722222,36103,2020-06-30,1,-1,-1,-1,-1
71.23222222,27.70611111,36104,2020-06-30,1,-1,-1,-1,-1
36.81388889,3.155277778,36116,2020-06-30,1,-1,-1,-1,-1
35.20277778,2.856944444,36117,2020-06-30,1,-1,-1,-1,-1
35.03444444,2.601666667,36118,2020-06-30,1,-1,-1,-1,-1
36.70833333,2.851388889,36129,2020-06-30,1,-1,-1,-1,-1
37.42416667,3.122222222,36145,2020-06-30,1,-1,-1,-1,-1
37.42416667,3.122222222,36146,2020-06-30,1,-1,-1,-1,-1
