Row,Latitude ,Longitude ,ID,Time,Locust,Soil_Moisture,Wind,Vegetation_Index,Humidity_D,Humidity_N,Elevation,Temperature_D,Temperature_N
96,37.35111111,24.80527778,22354,2/21/2019,1,#1c293a,#1c293a,#1c293a,#1c293a,#1c293a,#1c293a,#1c293a,#1c293a
97,37.34972222,24.79305556,22355,2/21/2019,1,#1b2839,#1b2839,#1b2839,#1b2839,#1b2839,#1b2839,#1b2839,#1b2839
98,37.43972222,25.08083333,22356,2/24/2019,1,#f0f1f3,#f0f1f3,#f0f1f3,#f0f1f3,#f0f1f3,#f0f1f3,#f0f1f3,#f0f1f3
99,37.31666667,24.85805556,22357,2/24/2019,1,#f1f2f4,#f1f2f4,#f1f2f4,#f1f2f4,#f1f2f4,#f1f2f4,#f1f2f4,#f1f2f4
100,37.3225,24.85222222,22358,2/24/2019,1,#f1f2f4,#f1f2f4,#f1f2f4,#f1f2f4,#f1f2f4,#f1f2f4,#f1f2f4,#f1f2f4
101,37.36472222,25.01611111,22359,2/27/2019,1,#128800,#7f727b,#7f727b,#7f727b,#7f727b,#7f727b,#7f727b,#7f727b
102,37.37444444,25.00833333,22360,2/27/2019,1,#128800,#171a2b,#171a2b,#171a2b,#171a2b,#171a2b,#171a2b,#171a2b
103,37.40638889,24.96055556,22361,2/27/2019,1,#009832,#566552,#566552,#566552,#566552,#007d2c,#566552,#566552
104,37.42138889,25.09972222,22362,2/26/2019,1,#4a566c,#4a566c,#4a566c,#4a566c,#4a566c,#4a566c,#4a566c,#4a566c
105,37.4175,25.10388889,22363,2/26/2019,1,#47566b,#47566b,#47566b,#47566b,#47566b,#47566b,#47566b,#47566b
106,37.42888889,25.09638889,22364,2/26/2019,1,#415065,#415065,#415065,#415065,#415065,#415065,#415065,#415065
107,37.26,24.89861111,22365,2/23/2019,1,#e4e4e6,#e4e4e6,#e4e4e6,#e4e4e6,#e4e4e6,#e4e4e6,#e4e4e6,#e4e4e6
108,37.2975,24.89305556,22366,2/23/2019,1,#f2f2f2,#f2f2f2,#f2f2f2,#f2f2f2,#f2f2f2,#f2f2f2,#f2f2f2,#f2f2f2
109,37.32111111,24.85388889,22367,2/24/2019,1,#f1f2f4,#f1f2f4,#f1f2f4,#f1f2f4,#f1f2f4,#f1f2f4,#f1f2f4,#f1f2f4
110,37.36611111,24.77583333,22368,2/28/2019,1,#0c1524,#0c1524,#0c1524,#0c1524,#0c1524,#0c1524,#0c1524,#0c1524
111,37.35083333,24.78472222,22369,2/28/2019,1,#0c1524,#0c1524,#0c1524,#0c1524,#0c1524,#0c1524,#0c1524,#0c1524
112,37.34444444,24.8125,22370,2/26/2019,1,#c5bcbf,#c5bcbf,#c5bcbf,#c5bcbf,#c5bcbf,#c5bcbf,#c5bcbf,#c5bcbf
113,48.4025,27.42777778,22371,2/24/2019,1,#00a144,#d6d7d9,#d6d7d9,#d6d7d9,#d6d7d9,#00a94a,#d6d7d9,#d6d7d9
114,37.37833333,24.76472222,22372,2/28/2019,1,#0e1525,#0e1525,#0e1525,#0e1525,#0e1525,#0e1525,#0e1525,#0e1525
115,37.32138889,24.81638889,22373,2/25/2019,1,#eaebef,#eaebef,#eaebef,#eaebef,#eaebef,#eaebef,#eaebef,#eaebef
116,38.89111111,16.75666667,22374,2/15/2019,1,#00ca95,#c9cacc,#c9cacc,#c9cacc,#c9cacc,#007728,#c9cacc,#c9cacc
117,53.49166667,26.86611111,22375,2/1/2019,1,#0000a8,#297d00,#8ee1d8,#67cdd6,#297d00,#00a245,#49ff56,#49ff56
118,53.49166667,26.86722222,22376,2/3/2019,1,#0000a5,#c1c5c8,#c1c5c8,#c1c5c8,#c1c5c8,#00a144,#c1c5c8,#c1c5c8
119,53.49583333,26.86777778,22377,2/3/2019,1,#0000a5,#c3c7ca,#c3c7ca,#c3c7ca,#c3c7ca,#009f43,#c3c7ca,#c3c7ca
120,53.4925,26.86722222,22378,2/3/2019,1,#0000a5,#c1c5c8,#c1c5c8,#c1c5c8,#c1c5c8,#00a245,#c1c5c8,#c1c5c8
121,53.49972222,26.88666667,22379,2/4/2019,1,#0000a5,#d6dadd,#d6dadd,#d6dadd,#d6dadd,#00a446,#d6dadd,#d6dadd
122,53.50861111,26.88666667,22380,2/4/2019,1,#008206,#d8d9db,#d8d9db,#d8d9db,#d8d9db,#00a547,#d8d9db,#d8d9db
123,53.51,26.88444444,22381,2/5/2019,1,#008206,#e2e3e7,#e2e3e7,#e2e3e7,#e2e3e7,#00a245,#e2e3e7,#e2e3e7
124,57.05666667,26.73916667,22382,3/3/2019,1,#00ae5d,#dadee1,#dadee1,#dadee1,#dadee1,#008e38,#dadee1,#dadee1
125,38.37388889,17.86027778,22383,3/2/2019,1,#dbdbdd,#dbdbdd,#dbdbdd,#dbdbdd,#dbdbdd,#dbdbdd,#dbdbdd,#dbdbdd
126,38.34666667,17.89194444,22384,3/3/2019,1,#0e1824,#0e1824,#0e1824,#0e1824,#0e1824,#0e1824,#0e1824,#0e1824
127,63.46472222,25.24722222,22385,3/16/2019,1,#4da600,#f2f2f4,#f2f2f4,#f2f2f4,#f2f2f4,#00963d,#f2f2f4,#f2f2f4
128,38.38861111,17.83916667,22386,3/4/2019,1,#0b141d,#0b141d,#0b141d,#0b141d,#0b141d,#0b141d,#0b141d,#0b141d
129,38.38527778,17.95583333,22387,3/5/2019,1,#091219,#091219,#091219,#091219,#091219,#091219,#091219,#091219
130,38.35694444,17.78,22388,3/5/2019,1,#0c151e,#0c151e,#0c151e,#0c151e,#0c151e,#0c151e,#0c151e,#0c151e
131,38.35555556,17.765,22389,3/5/2019,1,#0c151e,#0c151e,#0c151e,#0c151e,#0c151e,#0c151e,#0c151e,#0c151e
132,38.38055556,17.75722222,22390,3/5/2019,1,#0d161f,#0d161f,#0d161f,#0d161f,#0d161f,#0d161f,#0d161f,#0d161f
133,38.39833333,17.81972222,22391,3/6/2019,1,#0b151f,#0b151f,#0b151f,#0b151f,#0b151f,#0b151f,#0b151f,#0b151f
134,38.40138889,17.80444444,22392,3/8/2019,1,#26303a,#26303a,#26303a,#26303a,#26303a,#26303a,#26303a,#26303a
135,39.34194444,22.52694444,22393,3/20/2019,1,#00e1ff,#cbcbcb,#cbcbcb,#cbcbcb,#cbcbcb,#00ad4d,#cbcbcb,#cbcbcb
136,48.32638889,26.82194444,22394,3/20/2019,1,#00d3a8,#e2e2e2,#e2e2e2,#e2e2e2,#e2e2e2,#00aa4a,#e2e2e2,#e2e2e2
137,38.37388889,17.86027778,22395,3/2/2019,1,#dbdbdd,#dbdbdd,#dbdbdd,#dbdbdd,#dbdbdd,#dbdbdd,#dbdbdd,#dbdbdd
138,38.34666667,17.89194444,22396,3/3/2019,1,#0e1824,#0e1824,#0e1824,#0e1824,#0e1824,#0e1824,#0e1824,#0e1824
139,37.38916667,25.04166667,22397,3/2/2019,1,#0e1a28,#0e1a28,#0e1a28,#0e1a28,#0e1a28,#0e1a28,#0e1a28,#0e1a28
140,37.39222222,25.04305556,22398,3/3/2019,1,#283a50,#283a50,#283a50,#283a50,#283a50,#283a50,#283a50,#283a50
141,37.38972222,25.04083333,22399,3/3/2019,1,#27394f,#27394f,#27394f,#27394f,#27394f,#27394f,#27394f,#27394f
142,37.42138889,24.9625,22400,3/4/2019,1,#359a00,#b8c2c1,#b8c2c1,#b8c2c1,#b8c2c1,#b8c2c1,#b8c2c1,#b8c2c1
143,37.41722222,24.93583333,22401,3/4/2019,1,#00850c,#d4d4d2,#d4d4d2,#d4d4d2,#d4d4d2,#008b35,#d4d4d2,#d4d4d2
144,37.39888889,24.97805556,22402,3/4/2019,1,#359a00,#9ea2ad,#9ea2ad,#9ea2ad,#9ea2ad,#9ea2ad,#9ea2ad,#9ea2ad
145,37.4,24.97944444,22403,3/4/2019,1,#359a00,#a0a7b1,#a0a7b1,#a0a7b1,#a0a7b1,#a0a7b1,#a0a7b1,#a0a7b1
146,37.35888889,24.79472222,22404,3/5/2019,1,#0a121f,#0a121f,#0a121f,#0a121f,#0a121f,#0a121f,#0a121f,#0a121f
147,37.42861111,25.09583333,22405,3/1/2019,1,#0c141f,#0c141f,#87ddd7,#5ac6d4,#0c141f,#0c141f,#0c141f,#0c141f
