Latitude ,Longitude ,ID,Time,Locust,Soil_Moisture,Wind,Vegetation_Index,Humidity_D,Humidity_N,Elevation,Temperature_D,Temperature_N
37.35083333,24.78472222,22369,2019-02-28,1,-1,-1,-1,-1,-1,-1,-1,-1
37.34444444,24.8125,22370,2019-02-26,1,-1,-1,-1,-1,-1,-1,-1,-1
48.4025,27.42777778,22371,2019-02-24,1,-1,-1,-1,-1,-1,-1,-1,-1
37.37833333,24.76472222,22372,2019-02-28,1,-1,-1,-1,-1,-1,-1,-1,-1
37.32138889,24.81638889,22373,2019-02-25,1,-1,-1,-1,-1,-1,-1,-1,-1
38.89111111,16.75666667,22374,2019-02-15,1,-1,-1,-1,-1,-1,-1,-1,-1
53.49166667,26.86611111,22375,2019-02-01,1,-1,-1,-1,-1,-1,-1,-1,-1
53.49166667,26.86722222,22376,2019-02-03,1,-1,-1,-1,-1,-1,-1,-1,-1
53.49583333,26.86777778,22377,2019-02-03,1,-1,-1,-1,-1,-1,-1,-1,-1
53.4925,26.86722222,22378,2019-02-03,1,-1,-1,-1,-1,-1,-1,-1,-1
53.49972222,26.88666667,22379,2019-02-04,1,-1,-1,-1,-1,-1,-1,-1,-1
53.50861111,26.88666667,22380,2019-02-04,1,-1,-1,-1,-1,-1,-1,-1,-1
53.51,26.88444444,22381,2019-02-05,1,-1,-1,-1,-1,-1,-1,-1,-1
57.05666667,26.73916667,22382,2019-03-03,1,-1,-1,-1,-1,-1,-1,-1,-1
38.37388889,17.86027778,22383,2019-03-02,1,-1,-1,-1,-1,-1,-1,-1,-1
38.34666667,17.89194444,22384,2019-03-03,1,-1,-1,-1,-1,-1,-1,-1,-1
63.46472222,25.24722222,22385,2019-03-16,1,-1,-1,-1,-1,-1,-1,-1,-1
38.38861111,17.83916667,22386,2019-03-04,1,-1,-1,-1,-1,-1,-1,-1,-1
38.38527778,17.95583333,22387,2019-03-05,1,-1,-1,-1,-1,-1,-1,-1,-1
38.35694444,17.78,22388,2019-03-05,1,-1,-1,-1,-1,-1,-1,-1,-1
38.35555556,17.765,22389,2019-03-05,1,-1,-1,-1,-1,-1,-1,-1,-1
38.38055556,17.75722222,22390,2019-03-05,1,-1,-1,-1,-1,-1,-1,-1,-1
38.39833333,17.81972222,22391,2019-03-06,1,-1,-1,-1,-1,-1,-1,-1,-1
38.40138889,17.80444444,22392,2019-03-08,1,-1,-1,-1,-1,-1,-1,-1,-1
39.34194444,22.52694444,22393,2019-03-20,1,-1,-1,-1,-1,-1,-1,-1,-1
48.32638889,26.82194444,22394,2019-03-20,1,-1,-1,-1,-1,-1,-1,-1,-1
38.37388889,17.86027778,22395,2019-03-02,1,-1,-1,-1,-1,-1,-1,-1,-1
38.34666667,17.89194444,22396,2019-03-03,1,-1,-1,-1,-1,-1,-1,-1,-1
37.38916667,25.04166667,22397,2019-03-02,1,-1,-1,-1,-1,-1,-1,-1,-1
37.39222222,25.04305556,22398,2019-03-03,1,-1,-1,-1,-1,-1,-1,-1,-1
37.38972222,25.04083333,22399,2019-03-03,1,-1,-1,-1,-1,-1,-1,-1,-1
37.42138889,24.9625,22400,2019-03-04,1,-1,-1,-1,-1,-1,-1,-1,-1
37.41722222,24.93583333,22401,2019-03-04,1,-1,-1,-1,-1,-1,-1,-1,-1
37.39888889,24.97805556,22402,2019-03-04,1,-1,-1,-1,-1,-1,-1,-1,-1
37.4,24.97944444,22403,2019-03-04,1,-1,-1,-1,-1,-1,-1,-1,-1
37.35888889,24.79472222,22404,2019-03-05,1,-1,-1,-1,-1,-1,-1,-1,-1
37.42861111,25.09583333,22405,2019-03-01,1,-1,-1,-1,-1,-1,-1,-1,-1
37.34861111,24.78777778,22406,2019-03-06,1,-1,-1,-1,-1,-1,-1,-1,-1
37.39333333,25.02861111,22407,2019-03-02,1,-1,-1,-1,-1,-1,-1,-1,-1
47.01916667,16.94416667,22408,2019-04-25,1,-1,-1,-1,-1,-1,-1,-1,-1
44.49527778,16.31638889,22409,2019-04-25,1,-1,-1,-1,-1,-1,-1,-1,-1
44.19138889,15.54472222,22410,2019-04-26,1,-1,-1,-1,-1,-1,-1,-1,-1
45.83861111,14.99861111,22411,2019-04-26,1,-1,-1,-1,-1,-1,-1,-1,-1
44.79166667,16.15333333,22412,2019-04-22,1,-1,-1,-1,-1,-1,-1,-1,-1
49.35027778,16.13777778,22413,2019-04-24,1,-1,-1,-1,-1,-1,-1,-1,-1
49.20194444,16.15055556,22414,2019-04-24,1,-1,-1,-1,-1,-1,-1,-1,-1
45.28333333,15.25027778,22415,2019-04-24,1,-1,-1,-1,-1,-1,-1,-1,-1
45.64111111,15.03916667,22416,2019-04-25,1,-1,-1,-1,-1,-1,-1,-1,-1
48.92444444,16.03666667,22417,2019-04-18,1,-1,-1,-1,-1,-1,-1,-1,-1
59.72194444,27.11222222,22418,2019-04-25,1,-1,-1,-1,-1,-1,-1,-1,-1
44.24583333,17.53361111,22419,2019-04-28,1,-1,-1,-1,-1,-1,-1,-1,-1
59.32666667,27.54055556,22420,2019-04-25,1,-1,-1,-1,-1,-1,-1,-1,-1
44.10888889,17.41194444,22421,2019-04-27,1,-1,-1,-1,-1,-1,-1,-1,-1
44.43027778,17.49444444,22422,2019-04-28,1,-1,-1,-1,-1,-1,-1,-1,-1
44.74222222,17.54833333,22423,2019-04-28,1,-1,-1,-1,-1,-1,-1,-1,-1
57.85305556,25.99666667,22424,2019-04-22,1,-1,-1,-1,-1,-1,-1,-1,-1
57.84666667,26.00083333,22425,2019-04-22,1,-1,-1,-1,-1,-1,-1,-1,-1
44.45,14.65166667,22426,2019-05-01,1,-1,-1,-1,-1,-1,-1,-1,-1
44.23333333,15.7,22427,2019-05-01,1,-1,-1,-1,-1,-1,-1,-1,-1
44.1,15.46666667,22428,2019-05-01,1,-1,-1,-1,-1,-1,-1,-1,-1
44.06666667,15.2,22429,2019-05-02,1,-1,-1,-1,-1,-1,-1,-1,-1
43.96666667,15.3,22430,2019-05-02,1,-1,-1,-1,-1,-1,-1,-1,-1
44.05,15.71666667,22431,2019-05-01,1,-1,-1,-1,-1,-1,-1,-1,-1
44.05,15.53333333,22432,2019-05-03,1,-1,-1,-1,-1,-1,-1,-1,-1
43.63333333,15.65,22433,2019-05-07,1,-1,-1,-1,-1,-1,-1,-1,-1
44.46666667,14.38333333,22434,2019-05-07,1,-1,-1,-1,-1,-1,-1,-1,-1
43.93444444,26.00416667,22435,2019-05-30,1,-1,-1,-1,-1,-1,-1,-1,-1
44.815,25.66222222,22436,2019-05-01,1,-1,-1,-1,-1,-1,-1,-1,-1
45.06666667,24.97416667,22437,2019-05-31,1,-1,-1,-1,-1,-1,-1,-1,-1
